,City,Country,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph),Date
0,ilulissat,GL,69.2167,-51.1,100.0,93.0,30.22,0.0,1664595877.0
1,mahebourg,MU,-20.4081,57.7,75.0,68.0,70.09,12.66,1664595877.0
2,kaitangata,NZ,-46.2817,169.8464,0.0,59.0,48.33,5.5,1664595878.0
3,los llanos de aridane,ES,28.6585,-17.9182,100.0,84.0,65.95,10.36,1664595878.0
4,kavieng,PG,-2.5744,150.7967,73.0,73.0,82.98,13.53,1664595878.0
5,cherskiy,RU,68.75,161.3,100.0,60.0,34.09,3.38,1664595879.0
6,port alfred,ZA,-33.5906,26.891,100.0,90.0,59.18,4.0,1664595879.0
7,saint-philippe,RE,-21.3585,55.7679,63.0,79.0,69.22,10.8,1664595874.0
8,tsihombe,,,,,,,,
9,norman wells,CA,65.282,-126.8329,75.0,93.0,44.64,2.3,1664595879.0
10,georgetown,MY,5.4112,100.3354,20.0,77.0,83.89,3.44,1664595818.0
11,new norfolk,AU,-42.7826,147.0587,3.0,38.0,61.72,4.18,1664595797.0
12,atuona,PF,-9.8,-139.0333,3.0,70.0,76.98,17.31,1664595880.0
13,jaca,ES,42.569,-0.5499,59.0,65.0,43.99,3.98,1664595880.0
14,nyurba,RU,63.2842,118.3319,75.0,57.0,32.38,2.73,1664595881.0
15,ushuaia,AR,-54.8,-68.3,99.0,94.0,36.95,8.41,1664595794.0
16,nikolskoye,RU,59.7035,30.7861,49.0,97.0,44.49,4.54,1664595871.0
17,albany,US,42.6001,-73.9662,100.0,87.0,47.44,2.15,1664595648.0
18,sorland,NO,67.667,12.6934,37.0,61.0,48.06,14.83,1664595881.0
19,port keats,AU,-14.25,129.55,100.0,74.0,80.15,6.35,1664595882.0
20,husavik,IS,66.0449,-17.3389,100.0,98.0,44.58,16.82,1664595882.0
21,louisbourg,,,,,,,,
22,ibi,ES,38.6253,-0.5723,7.0,64.0,55.18,3.24,1664595883.0
23,ndiekro,,,,,,,,
24,ahipara,NZ,-35.1667,173.1667,57.0,89.0,64.78,10.31,1664595883.0
25,punta arenas,CL,-53.15,-70.9167,20.0,61.0,46.51,25.32,1664595883.0
26,newport,GB,51.5877,-2.9984,43.0,85.0,59.54,14.58,1664595872.0
27,kutoarjo,ID,-7.7169,109.9128,92.0,81.0,81.9,8.39,1664595884.0
28,hermanus,ZA,-34.4187,19.2345,100.0,68.0,58.41,1.41,1664595884.0
29,dianopolis,,,,,,,,
30,hobart,AU,-42.8794,147.3294,40.0,52.0,62.06,8.05,1664595675.0
31,butaritari,KI,3.0707,172.7902,93.0,77.0,82.15,13.8,1664595885.0
32,halalo,,,,,,,,
33,ponta do sol,PT,32.6667,-17.1,85.0,74.0,70.72,7.54,1664595800.0
34,mataura,NZ,-46.1927,168.8643,0.0,39.0,51.48,5.59,1664595797.0
35,puerto ayora,EC,-0.7393,-90.3518,82.0,98.0,64.54,1.01,1664595885.0
36,barrow,US,71.2906,-156.7887,100.0,74.0,30.22,10.36,1664595796.0
37,bar harbor,US,44.3876,-68.2039,0.0,83.0,53.24,4.61,1664595831.0
38,hami,CN,42.8,93.45,100.0,34.0,60.57,7.87,1664595886.0
39,beloha,MG,-25.1667,45.05,0.0,69.0,69.15,4.27,1664595886.0
40,vaini,TO,-21.2,-175.2,20.0,73.0,78.96,10.36,1664595887.0
41,victoria,HK,22.2855,114.1577,36.0,81.0,89.65,8.99,1664595834.0
42,kapaa,US,22.0752,-159.319,0.0,75.0,84.18,9.22,1664595617.0
43,zamhlay,,,,,,,,
44,rikitea,PF,-23.1203,-134.9692,1.0,76.0,73.63,9.86,1664595887.0
45,albemarle,US,35.3501,-80.2001,100.0,94.0,57.42,20.71,1664595888.0
46,minas,UY,-34.3759,-55.2377,43.0,93.0,48.65,4.45,1664595686.0
47,bredasdorp,ZA,-34.5322,20.0403,100.0,87.0,52.12,4.07,1664595888.0
48,dzhusaly,,,,,,,,
49,upernavik,GL,72.7868,-56.1549,75.0,84.0,19.27,4.52,1664595889.0
50,cidreira,BR,-30.1811,-50.2056,100.0,94.0,60.6,13.71,1664595870.0
51,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,75.0,41.0,55.99,13.42,1664595889.0
52,busselton,AU,-33.65,115.3333,99.0,52.0,68.59,12.95,1664595889.0
53,bambous virieux,MU,-20.3428,57.7575,75.0,68.0,70.05,12.66,1664595890.0
54,provideniya,RU,64.3833,-173.3,100.0,78.0,38.64,25.03,1664595890.0
55,coahuayana,MX,18.7333,-103.6833,79.0,91.0,77.7,2.8,1664595890.0
56,airai,TL,-8.9266,125.4092,100.0,69.0,72.59,1.66,1664595891.0
57,taolanaro,,,,,,,,
58,coihaique,CL,-45.5752,-72.0662,20.0,57.0,44.55,3.44,1664595727.0
59,gat,IL,31.61,34.7642,0.0,84.0,72.28,1.83,1664595891.0
60,barentsburg,,,,,,,,
61,pevek,RU,69.7008,170.3133,100.0,77.0,33.75,3.96,1664595892.0
62,bethanien,NA,-26.502,17.1583,34.0,25.0,58.41,0.54,1664595892.0
63,palmer,US,42.1584,-72.3287,75.0,85.0,52.52,3.44,1664595757.0
64,kahului,US,20.8947,-156.47,0.0,68.0,84.22,25.32,1664595596.0
65,grand river south east,,,,,,,,
66,geraldton,AU,-28.7667,114.6,0.0,41.0,77.41,10.36,1664595893.0
67,yellowknife,CA,62.456,-114.3525,75.0,82.0,52.32,10.36,1664595893.0
68,nizhneyansk,,,,,,,,
69,riyadh,SA,24.6877,46.7219,0.0,15.0,71.74,3.47,1664595615.0
70,asfi,MA,32.2994,-9.2372,0.0,76.0,64.22,16.31,1664595894.0
71,khatanga,RU,71.9667,102.5,100.0,97.0,30.65,13.73,1664595894.0
72,srednekolymsk,RU,67.45,153.6833,100.0,90.0,30.63,13.29,1664595894.0
73,guane,CU,22.2025,-84.0875,92.0,86.0,72.52,4.65,1664595895.0
74,porto novo,BJ,6.4965,2.6036,90.0,93.0,78.62,5.37,1664595895.0
75,kruisfontein,ZA,-34.0033,24.7314,20.0,87.0,53.89,9.04,1664595895.0
76,inhambane,MZ,-23.865,35.3833,20.0,93.0,64.38,5.01,1664595896.0
77,guangyuan,CN,32.442,105.823,100.0,95.0,67.03,2.26,1664595896.0
78,winnemucca,US,40.973,-117.7357,0.0,36.0,62.65,13.8,1664595711.0
79,pisco,PE,-13.7,-76.2167,0.0,82.0,61.02,6.91,1664595893.0
80,severo-kurilsk,RU,50.6789,156.125,86.0,73.0,48.74,10.74,1664595896.0
81,magistralnyy,RU,56.1725,107.4458,100.0,79.0,30.9,10.07,1664595897.0
82,warrnambool,AU,-38.3833,142.4833,0.0,68.0,58.86,10.76,1664595897.0
83,arica,CL,-18.475,-70.3042,0.0,76.0,58.55,3.44,1664595897.0
84,dikson,RU,73.5069,80.5464,100.0,85.0,34.59,15.59,1664595898.0
85,east london,ZA,-33.0153,27.9116,20.0,82.0,61.74,11.5,1664595898.0
86,aksha,RU,50.2814,113.2867,100.0,60.0,46.78,15.5,1664595898.0
87,sarahan,IN,31.5167,77.8,3.0,48.0,65.12,4.21,1664595899.0
88,beruni,,,,,,,,
89,hackettstown,US,40.854,-74.8291,100.0,78.0,57.4,3.44,1664595899.0
90,hilo,US,19.7297,-155.09,20.0,72.0,82.13,5.75,1664595900.0
91,stornoway,GB,58.2093,-6.3865,75.0,93.0,48.16,8.05,1664595900.0
92,katangli,RU,51.7102,143.2326,100.0,54.0,46.94,11.3,1664595900.0
93,luderitz,NA,-26.6481,15.1594,7.0,66.0,55.58,13.6,1664595876.0
94,qaanaaq,GL,77.484,-69.3632,41.0,70.0,13.71,6.38,1664595874.0
95,abu samrah,SY,35.3029,37.1841,0.0,51.0,73.45,5.86,1664595901.0
96,castro,BR,-24.7911,-50.0119,99.0,98.0,53.37,3.44,1664595901.0
97,calella,ES,41.618,2.6678,12.0,89.0,62.92,10.13,1664595737.0
98,cape town,ZA,-33.9258,18.4232,0.0,80.0,60.39,5.01,1664595723.0
99,chute-aux-outardes,CA,49.1168,-68.399,0.0,93.0,42.78,5.75,1664595902.0
100,port lincoln,AU,-34.7333,135.8667,3.0,67.0,62.04,10.07,1664595902.0
101,alenquer,BR,-1.9417,-54.7383,19.0,63.0,77.13,2.95,1664595902.0
102,tashtagol,RU,52.7657,87.8894,100.0,82.0,32.32,4.81,1664595903.0
103,aniva,RU,46.7144,142.5294,99.0,73.0,64.51,11.3,1664595903.0
104,la ronge,CA,55.1001,-105.2842,100.0,81.0,48.45,8.05,1664595903.0
105,bluff,NZ,-46.6,168.3333,2.0,59.0,51.8,7.94,1664595799.0
106,acari,PE,-15.4311,-74.6158,98.0,70.0,63.9,2.33,1664595904.0
107,havre-saint-pierre,CA,50.2334,-63.5986,0.0,93.0,48.2,5.75,1664595904.0
108,batagay-alyta,RU,67.8006,130.4114,100.0,77.0,22.69,1.61,1664595904.0
109,port blair,IN,11.6667,92.75,75.0,83.0,82.44,12.66,1664595905.0
110,zmeinogorsk,RU,51.1567,82.195,99.0,80.0,32.52,6.49,1664595905.0
111,moussoro,TD,13.6408,16.4901,20.0,47.0,84.76,7.76,1664595905.0
112,antakya,TR,36.2066,36.1572,0.0,58.0,73.22,3.67,1664595906.0
113,santa maria da vitoria,BR,-13.3947,-44.1886,57.0,56.0,77.72,8.57,1664595906.0
114,namtsy,RU,62.7161,129.6658,96.0,63.0,31.51,7.43,1664595906.0
115,lebu,CL,-37.6167,-73.65,100.0,94.0,50.9,13.35,1664595907.0
116,mount gambier,AU,-37.8333,140.7667,1.0,51.0,66.29,4.9,1664595826.0
117,tasiilaq,GL,65.6145,-37.6368,100.0,82.0,42.96,6.22,1664595907.0
118,panalingaan,PH,8.7842,117.4231,97.0,78.0,81.14,2.82,1664595908.0
119,longyearbyen,SJ,78.2186,15.6401,100.0,93.0,37.24,5.75,1664595719.0
120,kinablangan,PH,7.6947,126.5503,79.0,71.0,84.31,5.86,1664595908.0
121,kununurra,AU,-15.7667,128.7333,40.0,69.0,80.58,6.91,1664595908.0
122,general roca,AR,-39.0333,-67.5833,93.0,22.0,62.62,6.87,1664595909.0
123,aflu,,,,,,,,
124,carnarvon,AU,-24.8667,113.6333,0.0,57.0,73.56,21.43,1664595800.0
125,oytal,KZ,42.9057,73.2697,64.0,35.0,49.75,3.58,1664595909.0
126,jamestown,US,42.097,-79.2353,0.0,88.0,49.64,4.61,1664595910.0
127,katete,UG,-0.7818,29.7544,87.0,96.0,59.41,3.02,1664595910.0
128,matiguas,NI,12.8373,-85.4622,100.0,93.0,73.02,1.9,1664595910.0
129,college,US,64.8569,-147.8028,75.0,69.0,51.75,0.0,1664595911.0
130,thompson,CA,55.7435,-97.8558,20.0,80.0,32.16,2.3,1664595911.0
131,hithadhoo,MV,-0.6,73.0833,88.0,74.0,81.41,11.03,1664595912.0
132,cabo san lucas,MX,22.8909,-109.9124,33.0,74.0,83.52,1.99,1664595912.0
133,avarua,CK,-21.2078,-159.775,20.0,60.0,75.25,10.36,1664595807.0
134,pousat,,,,,,,,
135,thunder bay,CA,48.4001,-89.3168,75.0,87.0,49.98,4.61,1664595742.0
136,sitio novo do tocantins,BR,-5.5183,-47.4611,0.0,69.0,82.33,4.61,1664595913.0
137,numaligarh,IN,26.6333,93.75,12.0,70.0,86.99,2.51,1664595913.0
138,vila do maio,CV,15.1333,-23.2167,39.0,83.0,79.59,14.97,1664595913.0
139,henties bay,NA,-22.116,14.2845,0.0,93.0,53.78,5.91,1664595914.0
140,ponta delgada,PT,37.7333,-25.6667,20.0,94.0,66.51,3.44,1664595914.0
141,sweetwater,US,25.7634,-80.3731,0.0,88.0,77.02,0.0,1664595914.0
142,amderma,,,,,,,,
143,port augusta,AU,-32.5,137.7667,0.0,29.0,74.8,8.52,1664595915.0
144,vila velha,BR,-20.3297,-40.2925,75.0,86.0,66.94,3.44,1664595868.0
145,diglur,IN,18.55,77.6,31.0,72.0,81.32,9.22,1664595915.0
146,takoradi,GH,4.8845,-1.7554,92.0,92.0,74.44,9.4,1664595915.0
147,samusu,,,,,,,,
148,winburg,ZA,-28.518,27.0093,9.0,47.0,55.81,2.8,1664595916.0
149,vila franca do campo,PT,37.7167,-25.4333,34.0,85.0,66.2,1.59,1664595916.0
150,belushya guba,,,,,,,,
151,gushikawa,JP,26.3544,127.8686,75.0,69.0,87.8,9.22,1664595917.0
152,mys shmidta,,,,,,,,
153,saskylakh,RU,71.9167,114.0833,100.0,97.0,30.42,7.54,1664595917.0
154,wajir,KE,1.7471,40.0573,0.0,68.0,71.56,0.0,1664595917.0
155,najran,SA,17.4924,44.1277,0.0,17.0,66.85,5.88,1664595802.0
156,obo,CF,5.3998,26.4869,76.0,96.0,65.21,1.45,1664595918.0
157,santa cruz del sur,CU,20.7147,-77.9956,100.0,76.0,80.13,3.58,1664595918.0
158,that phanom,TH,16.9364,104.7104,95.0,81.0,80.62,6.96,1664595919.0
159,chalus,IR,36.655,51.4204,20.0,88.0,67.46,4.61,1664595919.0
160,marawi,PH,7.9986,124.2928,79.0,77.0,78.82,4.07,1664595919.0
161,olinda,BR,-8.0089,-34.8553,40.0,73.0,78.53,11.5,1664595764.0
162,hamilton,US,39.1834,-84.5333,0.0,60.0,58.87,1.99,1664595920.0
163,nahrin,AF,36.0649,69.1334,65.0,25.0,71.65,3.83,1664595920.0
164,mar del plata,AR,-38.0023,-57.5575,0.0,84.0,52.95,3.44,1664595662.0
165,vaitupu,,,,,,,,
166,ixtapa,MX,20.7,-105.2,100.0,74.0,83.43,14.97,1664595921.0
167,tuktoyaktuk,CA,69.4541,-133.0374,75.0,93.0,33.8,14.97,1664595921.0
168,cockburn town,TC,21.4612,-71.1419,12.0,74.0,82.26,17.36,1664595921.0
169,carutapera,BR,-1.195,-46.02,7.0,79.0,77.31,7.47,1664595922.0
170,baijiantan,CN,45.6333,85.1833,15.0,31.0,47.07,4.56,1664595922.0
171,cayenne,GF,4.9333,-52.3333,0.0,94.0,75.24,0.0,1664595922.0
172,mizan teferi,ET,6.9833,35.5833,20.0,84.0,60.26,2.77,1664595923.0
173,nome,US,64.5011,-165.4064,0.0,53.0,46.47,8.05,1664595923.0
174,ibra,OM,22.6906,58.5334,2.0,69.0,78.55,2.82,1664595923.0
175,biak,ID,-0.9131,122.8766,18.0,58.0,85.44,2.19,1664595924.0
176,greeneville,US,36.1632,-82.831,100.0,96.0,51.82,4.0,1664595924.0
177,seymchan,RU,62.8833,152.4333,100.0,74.0,30.22,10.02,1664595924.0
178,saint-leu,RE,-21.15,55.2833,5.0,79.0,74.95,3.76,1664595925.0
179,beachwood,US,41.4645,-81.5087,0.0,80.0,55.06,8.05,1664595925.0
180,clyde river,CA,70.4692,-68.5914,100.0,86.0,28.63,29.93,1664595687.0
181,saint george,US,37.1041,-113.5841,0.0,30.0,82.99,7.0,1664595926.0
182,san pedro,PH,14.35,121.0167,20.0,64.0,90.32,8.05,1664595926.0
183,guipavas,FR,48.4352,-4.3972,75.0,96.0,61.12,14.97,1664595926.0
184,aklavik,CA,68.2191,-135.0107,100.0,100.0,32.74,4.65,1664595927.0
185,merauke,ID,-8.4667,140.3333,99.0,71.0,85.46,14.09,1664595927.0
186,west bay,KY,19.3667,-81.4167,20.0,78.0,82.47,3.44,1664595927.0
187,safwah,,,,,,,,
188,xining,CN,36.6167,101.7667,1.0,45.0,63.21,2.59,1664595928.0
189,narodychi,UA,51.2029,29.0823,97.0,95.0,53.56,7.58,1664595928.0
190,broken hill,AU,-31.95,141.4333,65.0,32.0,68.99,8.14,1664595928.0
191,eydhafushi,MV,5.1033,73.0708,100.0,78.0,81.12,20.71,1664595929.0
192,christchurch,NZ,-43.5333,172.6333,100.0,66.0,51.42,13.8,1664595629.0
193,luwuk,ID,-0.9516,122.7875,16.0,56.0,88.61,4.03,1664595929.0
194,seoul,KR,37.5683,126.9778,40.0,34.0,78.37,2.3,1664595930.0
195,jalapa,MX,19.5333,-96.9167,26.0,88.0,55.47,5.14,1664595683.0
196,hirara,JP,24.8,125.2833,40.0,70.0,86.27,12.66,1664595930.0
197,ransang,PH,8.9603,117.5828,97.0,78.0,81.55,2.62,1664595931.0
198,san andres,CO,12.5847,-81.7006,20.0,78.0,82.42,4.61,1664595931.0
199,buala,SB,-8.145,159.5921,71.0,65.0,85.69,4.45,1664595931.0
200,ola,RU,59.5833,151.2833,67.0,46.0,44.15,7.96,1664595932.0
201,humberto de campos,BR,-2.5983,-43.4611,77.0,84.0,76.37,6.02,1664595932.0
202,constitucion,CL,-35.3333,-72.4167,100.0,82.0,54.86,7.56,1664595932.0
203,arraial do cabo,BR,-22.9661,-42.0278,20.0,77.0,66.16,4.61,1664595933.0
204,evanston,US,42.0411,-87.6901,20.0,85.0,58.96,6.91,1664595933.0
205,nagapattinam,IN,10.7667,79.8333,100.0,61.0,84.15,16.11,1664595933.0
206,saldanha,ZA,-33.0117,17.9442,54.0,79.0,48.25,11.7,1664595934.0
207,oga,IT,46.4631,10.347,87.0,97.0,43.48,2.1,1664595934.0
208,thiers,FR,45.8333,3.5,100.0,88.0,46.72,5.93,1664595934.0
209,eureka,US,40.8021,-124.1637,11.0,89.0,63.68,1.01,1664595935.0
210,chuy,UY,-33.6971,-53.4616,100.0,95.0,54.55,4.43,1664595935.0
211,ostersund,SE,63.1792,14.6357,75.0,100.0,42.62,12.66,1664595935.0
212,kalamare,BW,-22.9337,26.5703,0.0,42.0,64.02,11.83,1664595936.0
213,lolua,,,,,,,,
214,othonoi,,,,,,,,
215,leningradskiy,RU,69.3833,178.4167,100.0,78.0,29.86,7.99,1664595936.0
216,rong kwang,TH,18.339,100.3174,100.0,98.0,81.88,2.24,1664595937.0
217,vaitape,PF,-16.5167,-151.75,24.0,69.0,78.31,9.66,1664595937.0
218,chokurdakh,RU,70.6333,147.9167,100.0,68.0,27.39,5.06,1664595938.0
219,acarau,BR,-2.8856,-40.12,77.0,84.0,77.83,16.91,1664595753.0
220,ratnagiri,IN,16.9833,73.3,76.0,84.0,80.85,10.18,1664595938.0
221,caravelas,BR,-17.7125,-39.2481,100.0,87.0,70.57,11.77,1664595938.0
222,nhulunbuy,AU,-12.2333,136.7667,100.0,70.0,86.61,12.66,1664595939.0
223,faya,SA,18.3851,42.4509,0.0,49.0,57.31,2.71,1664595939.0
224,attawapiskat,,,,,,,,
225,sokur,RU,55.2093,83.319,100.0,81.0,32.36,5.64,1664595940.0
226,souillac,MU,-20.5167,57.5167,75.0,68.0,70.18,12.66,1664595940.0
227,paris,FR,48.8534,2.3488,100.0,94.0,57.97,18.41,1664595887.0
228,laguna,US,38.421,-121.4238,0.0,45.0,79.09,1.99,1664595940.0
229,portland,US,45.5234,-122.6762,20.0,78.0,68.09,7.0,1664595808.0
230,tuatapere,NZ,-46.1333,167.6833,2.0,60.0,49.23,6.26,1664595941.0
231,jishu,CN,44.3167,126.8,12.0,62.0,61.16,4.47,1664595941.0
232,surgut,RU,61.25,73.4167,0.0,86.0,30.38,0.0,1664595895.0
233,port elizabeth,ZA,-33.918,25.5701,0.0,92.0,59.31,16.11,1664595667.0
234,sumbawanga,TZ,-7.9667,31.6167,20.0,61.0,59.14,3.29,1664595942.0
235,matsanga,,,,,,,,
236,grindavik,IS,63.8424,-22.4338,75.0,87.0,48.15,19.57,1664595942.0
237,daxian,,,,,,,,
238,pangnirtung,CA,66.1451,-65.7125,100.0,66.0,33.76,2.26,1664595943.0
239,talnakh,RU,69.4865,88.3972,100.0,91.0,29.21,6.71,1664595943.0
240,blagodatnoye,RU,45.3997,42.5867,2.0,64.0,59.92,3.18,1664595943.0
241,tuscaloosa,US,33.2098,-87.5692,0.0,77.0,61.09,0.0,1664595888.0
242,lagoa,PT,39.05,-27.9833,5.0,64.0,68.4,1.3,1664595944.0
243,inderborskiy,,,,,,,,
244,tual,ID,-5.6667,132.75,85.0,69.0,82.85,3.22,1664595944.0
245,nanortalik,GL,60.1432,-45.2371,100.0,92.0,41.31,8.79,1664595945.0
246,faanui,PF,-16.4833,-151.75,23.0,69.0,78.31,9.73,1664595945.0
247,leirvik,NO,59.7798,5.5005,100.0,78.0,55.63,23.67,1664595946.0
248,cravo norte,CO,6.3017,-70.2041,100.0,93.0,74.53,3.94,1664595946.0
249,northam,GB,51.0333,-4.2167,88.0,87.0,58.6,20.8,1664595946.0
250,tiksi,RU,71.6872,128.8694,58.0,87.0,19.56,8.41,1664595947.0
251,tumannyy,,,,,,,,
252,chapais,CA,49.7834,-74.8492,100.0,89.0,46.18,7.78,1664595947.0
253,isangel,VU,-19.55,169.2667,75.0,79.0,86.11,13.8,1664595948.0
254,santa rosa,PH,14.3122,121.1114,25.0,65.0,91.09,10.94,1664595907.0
255,dunedin,NZ,-45.8742,170.5036,1.0,63.0,49.24,5.21,1664595948.0
256,hasaki,JP,35.7333,140.8333,6.0,65.0,83.21,17.25,1664595949.0
257,illoqqortoormiut,,,,,,,,
258,ambovombe,MG,-25.1667,46.0833,0.0,62.0,70.27,4.97,1664595949.0
259,qingdao,CN,36.0986,120.3719,40.0,78.0,74.8,11.18,1664595949.0
260,esqueda,MX,30.7167,-109.5833,16.0,67.0,67.1,0.38,1664595950.0
261,cascais,PT,38.6979,-9.4215,53.0,93.0,60.94,23.0,1664595950.0
262,lavrentiya,RU,65.5833,-171.0,97.0,69.0,38.61,17.52,1664595950.0
263,sinnamary,GF,5.3833,-52.95,8.0,88.0,77.63,10.18,1664595951.0
264,ribeira grande,PT,38.5167,-28.7,25.0,70.0,70.29,12.77,1664595951.0
265,alpena,US,45.0617,-83.4327,0.0,81.0,44.92,0.0,1664595952.0
266,alofi,NU,-19.0595,-169.9187,21.0,69.0,76.89,20.4,1664595952.0
267,dalby,AU,-27.1833,151.2667,100.0,36.0,73.27,0.87,1664595952.0
268,lahij,YE,13.1667,44.5833,3.0,60.0,82.2,2.04,1664595953.0
269,tambul,,,,,,,,
270,orlik,RU,52.5178,99.825,100.0,46.0,26.35,3.76,1664595953.0
271,nampula,MZ,-15.1165,39.2666,0.0,82.0,64.35,5.01,1664595953.0
272,komsomolskiy,UZ,40.4272,71.7189,100.0,36.0,65.12,2.3,1664595954.0
273,rosetown,CA,51.5501,-108.0014,100.0,63.0,58.98,11.5,1664595954.0
274,trojes,AL,41.756,19.962,100.0,86.0,63.09,5.5,1664595955.0
275,sarnia,CA,42.9787,-82.4041,0.0,87.0,57.13,11.5,1664595955.0
276,vestmannaeyjar,IS,63.4427,-20.2734,100.0,88.0,47.41,15.82,1664595955.0
277,vanimo,PG,-2.6741,141.3028,48.0,65.0,85.35,9.91,1664595956.0
278,ostrovnoy,RU,68.0531,39.5131,100.0,88.0,38.43,8.37,1664595956.0
279,sulangan,PH,11.1373,123.7228,59.0,72.0,83.75,5.91,1664595956.0
280,sokode,TG,8.9833,1.1333,75.0,100.0,71.31,4.61,1664595957.0
281,ye,,,,,,,,
282,koslan,RU,63.4564,48.8989,100.0,97.0,39.92,10.04,1664595957.0
283,guantanamo,CU,20.1444,-75.2092,56.0,92.0,78.37,2.15,1664595957.0
284,noumea,NC,-22.2763,166.4572,94.0,65.0,78.78,12.66,1664595958.0
285,nishihara,JP,26.1842,127.7558,75.0,68.0,87.85,9.22,1664595958.0
286,karpogory,RU,64.0019,44.4451,100.0,97.0,44.46,6.71,1664595958.0
287,goma,CD,-1.6792,29.2228,100.0,83.0,63.66,2.59,1664595959.0
288,huanren,CN,41.2647,125.3667,87.0,68.0,72.25,3.24,1664595960.0
289,bengkulu,ID,-3.8004,102.2655,75.0,75.0,82.56,7.78,1664595960.0
290,hambantota,LK,6.1241,81.1185,40.0,79.0,84.54,13.8,1664595960.0
291,chimbote,PE,-9.0853,-78.5783,95.0,86.0,60.82,7.7,1664595962.0
292,san quintin,MX,30.4833,-115.95,2.0,83.0,68.2,12.62,1664595962.0
293,saleaula,,,,,,,,
294,harper,LR,4.375,-7.7169,94.0,85.0,75.99,8.81,1664595963.0
295,rio gallegos,AR,-51.6226,-69.2181,0.0,49.0,44.65,12.66,1664595963.0
296,broome,US,42.2506,-75.833,0.0,82.0,50.38,5.75,1664595963.0
297,tevaitoa,PF,-16.7833,-151.5,19.0,71.0,77.99,9.37,1664595964.0
298,ruatoria,,,,,,,,
299,mingguang,CN,32.7802,117.9638,54.0,47.0,91.71,12.06,1664595964.0
300,toro,CO,4.6117,-76.0814,100.0,97.0,72.28,1.19,1664595964.0
301,bonito,BR,-21.1211,-56.4819,47.0,98.0,66.09,4.16,1664595965.0
302,jabiru,,,,,,,,
303,derzhavinsk,KZ,51.1,66.3167,0.0,44.0,34.2,12.06,1664595965.0
304,saint-francois,FR,46.4154,3.9054,75.0,87.0,47.68,8.05,1664595965.0
305,wamba,NG,8.9333,8.6,50.0,95.0,70.63,1.48,1664595966.0
306,cochrane,CA,51.1834,-114.4687,57.0,73.0,53.62,2.17,1664595925.0
307,mildura,AU,-34.2,142.15,39.0,41.0,76.06,6.64,1664595966.0
308,sakakah,SA,29.9697,40.2064,0.0,28.0,76.57,7.52,1664595967.0
309,prachuap khiri khan,TH,12.2167,99.75,100.0,74.0,79.45,5.7,1664595819.0
310,grootfontein,NA,-19.5667,18.1167,1.0,31.0,62.17,2.3,1664595967.0
311,alotau,,,,,,,,
312,thinadhoo,MV,0.5333,72.9333,100.0,77.0,81.12,14.12,1664595968.0
313,nantucket,US,41.2835,-70.0995,0.0,70.0,58.14,6.91,1664595966.0
314,nanganga,TZ,-10.3833,39.15,41.0,87.0,68.67,3.09,1664595968.0
315,luorong,CN,24.4058,109.6086,78.0,61.0,86.63,5.61,1664595969.0
316,karnal,IN,29.6833,76.9833,0.0,67.0,82.71,2.1,1664595969.0
317,kirensk,RU,57.7853,108.1119,100.0,67.0,31.39,7.7,1664595969.0
318,chikoy,,,,,,,,
319,kodiak,US,57.79,-152.4072,0.0,71.0,47.71,0.0,1664595970.0
320,saint anthony,US,45.0205,-93.218,20.0,59.0,64.18,8.05,1664595970.0
321,kachiry,KZ,53.0675,76.1036,14.0,54.0,37.35,7.61,1664595970.0
322,taoudenni,ML,22.6783,-3.9836,1.0,20.0,79.47,8.81,1664595971.0
323,panzhihua,CN,26.5851,101.7128,57.0,55.0,83.19,1.95,1664595971.0
